Feature Names
modelYear
ownerNo
price_cleaned
oem_BMW
oem_Chevrolet
oem_Citroen
oem_Datsun
oem_Fiat
oem_Ford
oem_Hindustan Motors
oem_Honda
oem_Hyundai
oem_Isuzu
oem_Jaguar
oem_Jeep
oem_Kia
oem_Land Rover
oem_Lexus
oem_MG
oem_Mahindra
oem_Mahindra Renault
oem_Mahindra Ssangyong
oem_Maruti
oem_Mercedes-Benz
oem_Mini
oem_Mitsubishi
oem_Nissan
oem_Porsche
oem_Renault
oem_Skoda
oem_Tata
oem_Toyota
oem_Volkswagen
oem_Volvo
ft_Petrol
model_Audi A3
model_Audi A3 cabriolet
model_Audi A4
model_Audi A6
model_Audi A8
model_Audi Q2
model_Audi Q3
model_Audi Q3 Sportback
model_Audi Q5
model_Audi Q7
model_Audi S5 Sportback
model_BMW 1 Series
model_BMW 2 Series
model_BMW 3 Series
model_BMW 3 Series GT
model_BMW 3 Series Gran Limousine
model_BMW 5 Series
model_BMW 6 Series
model_BMW 7 Series
model_BMW X1
model_BMW X3
model_BMW X4
model_BMW X5
model_BMW X7
model_Chevrolet Beat
model_Chevrolet Cruze
model_Chevrolet Enjoy
model_Chevrolet Optra
model_Chevrolet Sail
model_Chevrolet Spark
model_Citroen C3
model_Citroen C5 Aircross
model_Datsun GO
model_Datsun GO Plus
model_Datsun RediGO
model_Fiat Abarth Avventura
model_Fiat Avventura
model_Fiat Grande Punto
model_Fiat Linea
model_Fiat Punto
model_Fiat Punto Abarth
model_Fiat Punto EVO
model_Fiat Punto Pure
model_Ford Aspire
model_Ford Ecosport
model_Ford Endeavour
model_Ford Fiesta
model_Ford Fiesta Classic
model_Ford Figo
model_Ford Freestyle
model_Ford Mondeo
model_Hindustan Motors Contessa
model_Honda Amaze
model_Honda BR-V
model_Honda Brio
model_Honda CR-V
model_Honda City
model_Honda City Hybrid
model_Honda Civic
model_Honda Jazz
model_Honda Mobilio
model_Honda New Accord
model_Honda WR-V
model_Hyundai Accent
model_Hyundai Alcazar
model_Hyundai Aura
model_Hyundai Creta
model_Hyundai EON
model_Hyundai Elantra
model_Hyundai Grand i10
model_Hyundai Grand i10 Nios
model_Hyundai Santa Fe
model_Hyundai Santro
model_Hyundai Santro Xing
model_Hyundai Sonata
model_Hyundai Tucson
model_Hyundai Venue
model_Hyundai Verna
model_Hyundai Xcent
model_Hyundai i10
model_Hyundai i20
model_Hyundai i20 Active
model_Hyundai i20 N Line
model_Isuzu D-Max
model_Isuzu MU-X
model_Jaguar F-Pace
model_Jaguar F-TYPE
model_Jaguar XE
model_Jaguar XF
model_Jaguar XJ
model_Jeep Compass
model_Jeep Compass Trailhawk
model_Jeep Meridian
model_Jeep Wrangler
model_Kia Carens
model_Kia Carnival
model_Kia Seltos
model_Kia Sonet
model_Land Rover Defender
model_Land Rover Discovery
model_Land Rover Discovery Sport
model_Land Rover Freelander 2
model_Land Rover Range Rover
model_Land Rover Range Rover Evoque
model_Land Rover Range Rover Sport
model_Land Rover Range Rover Velar
