oem,modelYear,model,ft,variantName,ownerNo,km,City,price_cleaned,km_bucket
Ford,2019,Ford Ecosport,Petrol,1.5 Petrol Titanium,2,37741,Bangalore,930000.0,30000-40000
Maruti,2021,Maruti Alto 800,Petrol,VXI Plus BSVI,1,17367,Bangalore,455000.0,10000-20000
Hyundai,2017,Hyundai Creta,Diesel,1.6 CRDi SX Plus,1,94000,Bangalore,1195000.0,90000-100000
Tata,2021,Tata Harrier,Diesel,XZA Plus AT,1,33700,Bangalore,2175000.0,30000-40000
Maruti,2014,Maruti Swift,Petrol,VXI,3,54601,Bangalore,442000.0,50000-60000
Maruti,2018,Maruti Swift,Diesel,VDI,1,110000,Bangalore,690000.0,110000-120000
Maruti,2017,Maruti Celerio,Petrol,ZXI Optional,2,64000,Bangalore,500000.0,60000-70000
BMW,2016,BMW 3 Series GT,Diesel,Luxury Line,1,40525,Bangalore,3395000.0000000005,40000-50000
Maruti,2015,Maruti Ciaz,Diesel,VDi Plus,1,100000,Bangalore,650000.0,100000-110000
Honda,2016,Honda Jazz,Petrol,1.2 V AT i VTEC,2,44154,Bangalore,537000.0,40000-50000
Renault,2016,Renault Lodgy,Diesel,110PS RxZ 7 Seater,1,70000,Bangalore,750000.0,70000-80000
Skoda,2018,Skoda Octavia,Petrol,1.8 TSI AT L K,1,79000,Bangalore,1789999.9999999998,70000-80000
Tata,2017,Tata Tiago,Petrol,1.2 Revotron XT,2,68039,Bangalore,468000.0,60000-70000
Maruti,2014,Maruti Ritz,Petrol,VXi,2,60000,Bangalore,420000.0,60000-70000
Maruti,2014,Maruti Ritz,Petrol,VXi,2,60000,Bangalore,420000.0,60000-70000
Hyundai,2021,Hyundai i20,Petrol,Asta Turbo iMT DT,1,10000,Bangalore,920000.0,10000-20000
Honda,2013,Honda City,Petrol,V MT,1,49873,Bangalore,533000.0,40000-50000
Volkswagen,2013,Volkswagen Polo,Petrol,GT TSI,3,90000,Bangalore,850000.0,90000-100000
Skoda,2017,Skoda Rapid,Diesel,1.5 TDI Ambition BSIV,2,48960,Bangalore,751000.0,40000-50000
Hyundai,2014,Hyundai Grand i10,Diesel,CRDi Era,2,70000,Bangalore,388000.0,70000-80000
Hyundai,2013,Hyundai i20,Petrol,Sportz 1.2,2,68000,Bangalore,490000.00000000006,60000-70000
Mahindra,2016,Mahindra KUV 100,Diesel,mFALCON D75 K6,1,23017,Bangalore,494000.00000000006,20000-30000
Hyundai,2013,Hyundai i20,Diesel,Asta 1.4 CRDi,2,83000,Bangalore,525000.0,80000-90000
BMW,2016,BMW X3,Diesel,xDrive20d xLine,2,92000,Bangalore,2890000.0,90000-100000
Maruti,2018,Maruti Wagon R,Petrol,VXI Plus Optional,1,62139,Bangalore,550000.0,60000-70000
Renault,2016,Renault KWID,Petrol,1.0 AMT RXT,2,26500,Bangalore,420000.0,20000-30000
Volvo,2017,Volvo S60,Diesel,D4 KINETIC,1,81716,Bangalore,1895000.0,80000-90000
Mercedes-Benz,2018,Mercedes-Benz E-Class,Diesel,E 350d,2,24000,Bangalore,5990000.0,20000-30000
Mahindra,2022,Mahindra XUV300,Petrol,W6 AMT Sunroof BSVI,1,10000,Bangalore,1050000.0,10000-20000
MG,2021,MG Hector Plus,Petrol,Sharp CVT,1,18000,Bangalore,2075000.0,10000-20000
Honda,2013,Honda Brio,Petrol,S MT,1,38197,Bangalore,394000.0,30000-40000
Maruti,2017,Maruti Baleno,Petrol,Zeta CVT,2,23000,Bangalore,725000.0,20000-30000
Maruti,2013,Maruti Alto K10,Petrol,LXI,1,50000,Bangalore,240000.0,50000-60000
Renault,2022,Renault Kiger,Petrol,RXZ AMT DT,1,10000,Bangalore,835000.0,10000-20000
Hyundai,2019,Hyundai Grand i10,Petrol,1.2 Kappa Asta,1,19000,Bangalore,695000.0,10000-20000
Kia,2020,Kia Seltos,Petrol,GTX Plus DCT,1,14000,Bangalore,1725000.0,10000-20000
Hyundai,2014,Hyundai EON,Petrol,Magna Plus,1,29268,Bangalore,330000.0,20000-30000
Volkswagen,2019,Volkswagen Vento,Petrol,1.2 TSI Highline Plus AT,1,20000,Bangalore,990000.0,20000-30000
Toyota,2018,Toyota Yaris,Petrol,G BSIV,1,30000,Bangalore,750000.0,30000-40000
Honda,2018,Honda Jazz,Petrol,1.2 V AT i VTEC,1,64374,Bangalore,755000.0,60000-70000
MG,2021,MG Hector,Diesel,Sharp Diesel MT BSIV,1,30000,Bangalore,1750000.0,30000-40000
Hyundai,2022,Hyundai Alcazar,Petrol,Signature (O) AT,1,7100,Bangalore,2083000.0,0-10000
Hyundai,2010,Hyundai i10,Petrol,Era 1.1 iTech SE,1,43679,Bangalore,271000.0,40000-50000
Hyundai,2018,Hyundai Creta,Petrol,1.6 SX Automatic,1,40000,Bangalore,1280000.0,40000-50000
Hyundai,2012,Hyundai i20,Diesel,Era 1.4 CRDi,1,40562,Bangalore,436000.00000000006,40000-50000
Hyundai,2021,Hyundai Creta,Petrol,SX Opt Turbo DCT,2,26500,Bangalore,1675000.0,20000-30000
Hyundai,2019,Hyundai Venue,Petrol,SX Plus Turbo DCT BSIV,1,20000,Bangalore,1250000.0,20000-30000
Mahindra,2016,Mahindra XUV500,Diesel,AT W8 FWD,1,58600,Bangalore,1350000.0,50000-60000
Hyundai,2019,Hyundai Venue,Petrol,SX Plus Turbo DCT BSIV,1,20000,Bangalore,1250000.0,20000-30000
Volkswagen,2020,Volkswagen T-Roc,Petrol,TSI,1,42050,Bangalore,2225000.0,40000-50000
Maruti,2015,Maruti Celerio,Petrol,VXI AT,1,65017,Bangalore,475000.0,60000-70000
Jeep,2021,Jeep Compass,Petrol,Model S DCT BSVI,1,30000,Bangalore,2450000.0,30000-40000
Kia,2020,Kia Seltos,Petrol,GTX Plus DCT,1,20000,Bangalore,1625000.0,20000-30000
Skoda,2014,Skoda Superb,Diesel,Elegance 2.0 TDI CR AT,1,36349,Bangalore,1650000.0,30000-40000
Renault,2014,Renault Duster,Petrol,Petrol RxE,2,83394,Bangalore,630000.0,80000-90000
Audi,2016,Audi Q5,Diesel,30 TDI Sport Edition,2,30000,Bangalore,2599000.0,30000-40000
Maruti,2017,Maruti Alto K10,Petrol,VXI,1,52204,Bangalore,385000.0,50000-60000
Hyundai,2012,Hyundai i20,Petrol,1.2 Sportz,3,110000,Bangalore,300000.0,110000-120000
Ford,2017,Ford Endeavour,Diesel,3.2 Titanium AT 4X4,1,89000,Bangalore,2975000.0,80000-90000
Maruti,2014,Maruti Alto 800,Petrol,VXI,2,29813,Bangalore,276000.0,20000-30000
Ford,2018,Ford Figo,Petrol,1.2P Titanium Opt MT,1,30000,Bangalore,500000.0,30000-40000
Maruti,2020,Maruti Ignis,Petrol,1.2 AMT Zeta BSIV,1,13345,Bangalore,730000.0,10000-20000
Hyundai,2022,Hyundai Alcazar,Diesel,1.5 Signature (O) 7-Seater Diesel AT,1,17100,Bangalore,2245000.0,10000-20000
Hyundai,2014,Hyundai Grand i10,Petrol,Sportz,1,75000,Bangalore,399000.0,70000-80000
Hyundai,2011,Hyundai i10,Petrol,Sportz,2,75523,Bangalore,312000.0,70000-80000
Mahindra,2015,Mahindra XUV500,Diesel,W10 2WD,1,47000,Bangalore,1275000.0,40000-50000
Tata,2022,Tata Harrier,Diesel,XT Plus BSVI,1,36500,Bangalore,1990000.0,30000-40000
Renault,2020,Renault Triber,Petrol,RXZ,1,28253,Bangalore,719000.0,20000-30000
Hyundai,2016,Hyundai Creta,Diesel,1.6 CRDi SX Plus,1,50000,Bangalore,1260000.0,50000-60000
Hyundai,2010,Hyundai i10,Petrol,Magna,2,90000,Bangalore,300000.0,90000-100000
BMW,2016,BMW X5,Diesel,xDrive 30d M Sport,2,70000,Bangalore,3981000.0,70000-80000
Hyundai,2016,Hyundai i20,Petrol,Asta 1.2,1,52571,Bangalore,627000.0,50000-60000
BMW,2010,BMW 3 Series,Diesel,320d Highline,2,70000,Bangalore,1300000.0,70000-80000
Honda,2015,Honda City,Petrol,i VTEC V,1,61993,Bangalore,672000.0,60000-70000
Hyundai,2017,Hyundai Tucson,Diesel,2.0 e-VGT 2WD AT GL Opt,1,57000,Bangalore,1825000.0,50000-60000
Toyota,2021,Toyota Fortuner,Diesel,2.8 2WD MT,2,80000,Bangalore,3500000.0,80000-90000
Hyundai,2013,Hyundai i20,Petrol,Sportz 1.2,1,36359,Bangalore,440000.00000000006,30000-40000
Tata,2019,Tata Harrier,Diesel,XZ BSIV,2,70000,Bangalore,1460000.0,70000-80000
MG,2022,MG Hector,Petrol,Sharp CVT,1,7500,Bangalore,2041000.0,0-10000
Hyundai,2017,Hyundai Verna,Petrol,VTVT 1.6 AT SX Option,1,30301,Bangalore,1033000.0,30000-40000
Hyundai,2010,Hyundai i10,Petrol,Sportz 1.2,1,66000,Bangalore,275000.0,60000-70000
Hyundai,2017,Hyundai i20,Petrol,Sportz 1.2,1,56010,Bangalore,676000.0,50000-60000
Mercedes-Benz,2017,Mercedes-Benz GLC,Diesel,220d 4MATIC Style,1,47000,Bangalore,4290000.0,40000-50000
Nissan,2014,Nissan Terrano,Diesel,XV Premium 110 PS,2,60000,Bangalore,650000.0,60000-70000
Maruti,2014,Maruti Swift,Diesel,VDI BSIV,1,83829,Bangalore,444000.00000000006,80000-90000
Renault,2020,Renault KWID,Petrol,1.0 RXT AMT Opt,1,10000,Bangalore,510000.0,10000-20000
Renault,2016,Renault Duster,Diesel,110PS Diesel RxZ AMT,2,35000,Bangalore,925000.0,30000-40000
Honda,2019,Honda City,Petrol,i-VTEC CVT V,2,51116,Bangalore,1024000.0,50000-60000
Skoda,2016,Skoda Rapid,Diesel,1.5 TDI Elegance Black Package,3,80000,Bangalore,500000.0,80000-90000
Volkswagen,2017,Volkswagen Polo,Petrol,GT TSI,2,40000,Bangalore,995000.0,40000-50000
Honda,2012,Honda CR-V,Petrol,2.4L 4WD AT,2,85565,Bangalore,935000.0,80000-90000
Ford,2018,Ford Ecosport,Petrol,1.5 Petrol Titanium Plus BSIV,1,36916,Bangalore,834000.0,30000-40000
Volkswagen,2015,Volkswagen Polo,Diesel,1.5 TDI Highline,1,90000,Bangalore,560000.0,90000-100000
Mercedes-Benz,2021,Mercedes-Benz A-Class Limousine,Petrol,A 200 BSVI,1,11000,Bangalore,3690000.0,10000-20000
Honda,2016,Honda Brio,Petrol,S MT,2,36685,Bangalore,462000.0,30000-40000
BMW,2022,BMW 6 Series,Petrol,GT 630i M Sport BSVI,1,4000,Bangalore,7900000.0,0-10000
Maruti,2019,Maruti Baleno,Petrol,1.2 CVT Alpha,2,32184,Bangalore,843000.0,30000-40000
Maruti,2018,Maruti Baleno RS,Petrol,1.0 Petrol,1,32279,Bangalore,799000.0,30000-40000
Hyundai,2015,Hyundai i20,Petrol,Asta Option 1.2,1,59698,Bangalore,576000.0,50000-60000
Renault,2018,Renault Captur,Diesel,1.5 Diesel Platine,1,46071,Bangalore,949000.0,40000-50000
Maruti,2017,Maruti Vitara Brezza,Diesel,ZDi,1,90000,Bangalore,795000.0,90000-100000
Hyundai,2019,Hyundai Venue,Petrol,SX Turbo BSIV,1,9554,Bangalore,1085000.0,0-10000
Jeep,2022,Jeep Compass,Petrol,1.4 Limited Opt DCT BSVI,1,14000,Bangalore,2590000.0,10000-20000
Renault,2013,Renault Duster,Diesel,85PS Diesel RxE,2,74499,Bangalore,516000.0,70000-80000
Ford,2017,Ford Ecosport,Petrol,1.5 Petrol Trend Plus AT BSIV,2,56211,Bangalore,777000.0,50000-60000
Honda,2019,Honda Jazz,Petrol,V,1,9001,Bangalore,753000.0,0-10000
Mahindra,2017,Mahindra XUV500,Diesel,AT W10 1.99 mHawk,2,65457,Bangalore,1226000.0,60000-70000
Honda,2017,Honda Jazz,Petrol,1.2 V i VTEC,1,23682,Bangalore,725000.0,20000-30000
Hyundai,2020,Hyundai Verna,Diesel,CRDi 1.6 SX,1,50000,Bangalore,1150000.0,50000-60000
Maruti,2013,Maruti Swift Dzire,Petrol,VXI,2,96567,Bangalore,447000.0,90000-100000
Maruti,2014,Maruti Ertiga,Diesel,ZDI,2,83007,Bangalore,786000.0,80000-90000
Honda,2018,Honda Jazz,Petrol,1.2 VX i VTEC,1,34000,Bangalore,745000.0,30000-40000
Hyundai,2014,Hyundai Grand i10,Petrol,AT Asta,1,81634,Bangalore,490000.00000000006,80000-90000
Honda,2017,Honda City,Petrol,i-VTEC CVT ZX,2,57284,Bangalore,942000.0,50000-60000
Ford,2016,Ford Ecosport,Petrol,1.5 Ti VCT AT Titanium BSIV,2,70000,Bangalore,675000.0,70000-80000
Honda,2013,Honda Brio,Petrol,S MT,2,70000,Bangalore,330000.0,70000-80000
Toyota,2018,Toyota Yaris,Petrol,G CVT BSIV,2,46429,Bangalore,875000.0,40000-50000
Maruti,2017,Maruti Baleno,Petrol,1.2 Alpha,1,17624,Bangalore,869000.0,10000-20000
Volkswagen,2012,Volkswagen Vento,Diesel,Diesel Highline,2,100000,Bangalore,425000.0,100000-110000
Honda,2019,Honda City,Petrol,i-VTEC V,1,30000,Bangalore,1070000.0,30000-40000
Ford,2018,Ford Ecosport,Petrol,1.5 Petrol Titanium,2,49690,Bangalore,1025000.0,40000-50000
Mahindra,2016,Mahindra XUV500,Diesel,W6 2WD,1,110000,Bangalore,1000000.0,110000-120000
Ford,2018,Ford Ecosport,Petrol,1.5 Petrol Titanium Plus AT BSIV,1,55702,Bangalore,844000.0,50000-60000
Hyundai,2016,Hyundai i20 Active,Diesel,1.4 SX,1,45046,Bangalore,764000.0,40000-50000
Maruti,2014,Maruti Ritz,Petrol,VXi,2,53000,Bangalore,420000.0,50000-60000
Maruti,2016,Maruti Baleno,Diesel,1.3 Alpha,1,94695,Bangalore,684000.0,90000-100000
Maruti,2019,Maruti Baleno,Petrol,1.2 Alpha,1,22162,Bangalore,802999.9999999999,20000-30000
Hyundai,2010,Hyundai Santro Xing,Petrol,GLS,2,70000,Bangalore,320000.0,70000-80000
Mercedes-Benz,2013,Mercedes-Benz E-Class,Diesel,E 220 CDI Avantgarde,2,70000,Bangalore,1400000.0,70000-80000
Maruti,2016,Maruti Swift,Petrol,VXI,2,42233,Bangalore,548000.0,40000-50000
Hyundai,2019,Hyundai Grand i10,Petrol,1.2 Kappa Sportz BSIV,1,20941,Bangalore,619000.0,20000-30000
Maruti,2018,Maruti Vitara Brezza,Diesel,ZDi Plus Dual Tone,2,50000,Bangalore,1000000.0,50000-60000
