oem,modelYear,model,ft,variantName,ownerNo,km,City,price_cleaned,km_bucket
Hyundai,2019,Hyundai i20,Petrol,Asta Option,1,38100,Bangalore,835000.0,30000-40000
Honda,2014,Honda Brio,Petrol,S MT,2,42000,Bangalore,425000.0,40000-50000
Hyundai,2018,Hyundai i20,Diesel,1.4 Asta Dual Tone,1,93003,Bangalore,750000.0,90000-100000
Hyundai,2017,Hyundai Grand i10,Petrol,Asta Option AT,2,36000,Bangalore,675000.0,30000-40000
Kia,2022,Kia Sonet,Petrol,Turbo DCT Anniversary Edition,1,20000,Chennai,1150000.0,20000-30000
Maruti,2015,Maruti Eeco,Petrol,7 Seater Standard BSIV,1,20687,Chennai,415000.00000000006,20000-30000
Nissan,2021,Nissan Magnite,Petrol,Turbo XV Premium BSVI,1,30000,Chennai,750000.0,30000-40000
Hyundai,2015,Hyundai i10,Petrol,Sportz 1.1L,1,59247,Chennai,398000.0,50000-60000
Honda,2015,Honda Jazz,Petrol,1.2 VX i VTEC,1,50000,Chennai,550000.0,50000-60000
Mercedes-Benz,2016,Mercedes-Benz E-Class,Diesel,E250 CDI Avantgarde,1,20000,Chennai,3300000.0,20000-30000
Maruti,2016,Maruti Celerio,Petrol,ZXI AT Optional,1,29403,Chennai,453000.0,20000-30000
Maruti,2010,Maruti A-Star,Petrol,Zxi,1,42700,Chennai,285000.0,40000-50000
BMW,2018,BMW X3,Diesel,xDrive 20d Luxury Line,1,23001,Chennai,5000000.0,20000-30000
Ford,2018,Ford Ecosport,Petrol,1.5 Petrol Titanium Plus AT BSIV,2,25925,Chennai,821000.0000000001,20000-30000
Hyundai,2021,Hyundai i20,Petrol,Asta Opt BSVI,1,20000,Chennai,865000.0,20000-30000
Honda,2019,Honda Jazz,Petrol,VX CVT,1,17711,Chennai,792000.0,10000-20000
BMW,2020,BMW 3 Series,Diesel,320d Luxury Line,1,50000,Chennai,4050000.0,50000-60000
Maruti,2018,Maruti Swift,Petrol,VXI 2018,1,50000,Chennai,610000.0,50000-60000
Hyundai,2018,Hyundai Grand i10,Petrol,1.2 Kappa Magna BSIV,2,51125,Chennai,511000.00000000006,50000-60000
Tata,2019,Tata Nexon,Diesel,1.5 Revotorq XT,1,69233,Chennai,710000.0,60000-70000
Jeep,2017,Jeep Compass,Diesel,2.0 Sport,1,65000,Chennai,1225000.0,60000-70000
Honda,2014,Honda City,Petrol,i VTEC VX,1,93281,Chennai,570000.0,90000-100000
Toyota,2022,Toyota Fortuner,Diesel,4X2 Diesel BSVI,1,18000,Chennai,3900000.0,10000-20000
Honda,2014,Honda Amaze,Petrol,E i-Vtech,2,99225,Chennai,375000.0,90000-100000
Hyundai,2016,Hyundai EON,Petrol,1.0 Era Plus,1,30000,Chennai,275000.0,30000-40000
Honda,2014,Honda Amaze,Petrol,S i-Vtech,1,30602,Chennai,429000.0,30000-40000
Maruti,2018,Maruti Swift,Diesel,VDI BSIV,1,64500,Chennai,675000.0,60000-70000
Honda,2017,Honda City,Petrol,i VTEC V,2,46809,Chennai,793000.0,40000-50000
Hyundai,2019,Hyundai Creta,Diesel,1.6 CRDi AT SX Plus,1,20000,Chennai,1425000.0,20000-30000
Hyundai,2020,Hyundai Venue,Petrol,SX Plus Turbo DCT BSIV,1,21725,Chennai,1036000.0,20000-30000
Honda,2016,Honda City,Petrol,i VTEC VX,1,80000,Chennai,800000.0,80000-90000
Audi,2013,Audi A6,Petrol,2.0 TFSI Premium Plus,2,88000,Chennai,1400000.0,80000-90000
Honda,2019,Honda City,Petrol,ZX CVT,2,30360,Chennai,1088000.0,30000-40000
Maruti,2017,Maruti Baleno,Petrol,1.2 CVT Zeta,2,70000,Chennai,590000.0,70000-80000
Hyundai,2016,Hyundai Grand i10,Petrol,Asta Option,1,16246,Chennai,568000.0,10000-20000
Maruti,2017,Maruti Celerio,Petrol,LXI AT,2,55000,Chennai,400000.0,50000-60000
Toyota,2022,Toyota Innova Crysta,Petrol,2.7 ZX 7 STR AT,1,13000,Chennai,2790000.0,10000-20000
Maruti,2016,Maruti Celerio,Petrol,ZXI AT Optional,2,71638,Chennai,422000.0,70000-80000
Honda,2015,Honda Amaze,Petrol,SX i-VTEC,1,46105,Chennai,450000.0,40000-50000
Honda,2017,Honda WR-V,Petrol,i-VTEC VX,1,60000,Chennai,650000.0,60000-70000
Honda,2017,Honda Jazz,Diesel,1.5 SV i DTEC,1,80000,Chennai,575000.0,80000-90000
Mercedes-Benz,2015,Mercedes-Benz B Class,Diesel,B200 CDI,1,58000,Chennai,1950000.0,50000-60000
Maruti,2017,Maruti Baleno,Petrol,1.2 CVT Zeta,1,61764,Chennai,702000.0,60000-70000
Mahindra,2016,Mahindra KUV 100,Petrol,mFALCON G80 K4,2,36018,Chennai,448000.00000000006,30000-40000
Hyundai,2022,Hyundai Grand i10 Nios,Petrol,Turbo Sportz,1,17197,Chennai,801000.0,10000-20000
Honda,2016,Honda City,Petrol,i VTEC CVT VX,2,62931,Chennai,772000.0,60000-70000
Toyota,2013,Toyota Corolla Altis,Petrol,G,2,90000,Chennai,500000.0,90000-100000
Mahindra,2021,Mahindra XUV300,Petrol,W8 Option BSVI,1,21023,Chennai,1103000.0,20000-30000
Toyota,2018,Toyota Corolla Altis,Diesel,1.4 DGL,1,43000,Chennai,1490000.0,40000-50000
Hyundai,2018,Hyundai Verna,Petrol,VTVT 1.6 SX,1,78892,Chennai,835000.0,70000-80000
Audi,2015,Audi A6,Diesel,35 TDI,1,59000,Chennai,2090000.0,50000-60000
Chevrolet,2014,Chevrolet Sail,Petrol,1.2 LS,1,90058,Chennai,350000.0,90000-100000
Audi,2015,Audi Q5,Diesel,3.0 TDI Quattro,1,69000,Chennai,2100000.0,60000-70000
Honda,2019,Honda WR-V,Diesel,i-DTEC VX,1,67000,Chennai,925000.0,60000-70000
Maruti,2017,Maruti Ciaz,Diesel,1.3 Alpha,1,80000,Chennai,850000.0,80000-90000
Maruti,2017,Maruti Ciaz,Diesel,1.3 Alpha,1,80000,Chennai,850000.0,80000-90000
Audi,2020,Audi Q7,Diesel,45 TDI Quattro Technology,1,57000,Chennai,6600000.0,50000-60000
BMW,2017,BMW 7 Series,Diesel,Signature 730Ld,1,27000,Chennai,6800000.0,20000-30000
Tata,2018,Tata Nexon,Petrol,1.2 Revotron XM,1,38334,Chennai,707000.0,30000-40000
Volkswagen,2019,Volkswagen Polo,Petrol,1.0 MPI Comfortline,1,36992,Chennai,680000.0,30000-40000
BMW,2016,BMW X3,Diesel,xDrive30d M Sport,2,50000,Chennai,3750000.0,50000-60000
Tata,2021,Tata New Safari,Diesel,XZA Plus 6 Str AT BSVI,1,34596,Chennai,2039000.0,30000-40000
Datsun,2019,Datsun GO,Petrol,A Petrol,1,84564,Chennai,401000.0,80000-90000
Mercedes-Benz,2013,Mercedes-Benz E-Class,Diesel,E250 CDI,2,60001,Chennai,2150000.0,60000-70000
Hyundai,2018,Hyundai Santro,Petrol,Magna BSIV,1,23462,Chennai,505000.0,20000-30000
Volkswagen,2022,Volkswagen Taigun,Petrol,1.0 TSI Topline AT BSVI,1,13000,Chennai,1599000.0,10000-20000
Honda,2019,Honda Amaze,Diesel,V CVT Diesel BSIV,1,54658,Chennai,830000.0000000001,50000-60000
Mahindra,2020,Mahindra XUV300,Petrol,W8 Option BSVI,1,34164,Chennai,1036000.0,30000-40000
Kia,2022,Kia Seltos,Petrol,HTK Plus iMT,1,10000,Chennai,1595000.0,10000-20000
Fiat,2010,Fiat Punto,Petrol,1.4 Emotion,3,70000,Chennai,100000.0,70000-80000
Hyundai,2020,Hyundai Venue,Petrol,S,1,37000,Chennai,825000.0,30000-40000
Mahindra,2022,Mahindra XUV700,Diesel,AX7 Diesel AT Luxury Pack AWD BSVI,1,20000,Chennai,2900000.0,20000-30000
Maruti,2016,Maruti Baleno,Petrol,1.2 Alpha,1,53967,Chennai,550000.0,50000-60000
Hyundai,2011,Hyundai i10,Petrol,Magna,1,52700,Chennai,299000.0,50000-60000
Tata,2018,Tata Nexon,Petrol,1.2 Revotron XZA Plus DualTone,1,60000,Chennai,750000.0,60000-70000
Maruti,2016,Maruti Baleno,Petrol,1.2 Alpha,1,53967,Chennai,550000.0,50000-60000
Honda,2014,Honda Amaze,Petrol,E Petrol,2,99225,Chennai,375000.0,90000-100000
Fiat,2011,Fiat Linea,Petrol,Emotion,2,60000,Chennai,265000.0,60000-70000
Honda,2020,Honda Jazz,Petrol,VX CVT,1,48220,Chennai,808000.0,40000-50000
Honda,2016,Honda Jazz,Petrol,1.2 VX i VTEC,1,72024,Chennai,542000.0,70000-80000
Honda,2016,Honda Amaze,Petrol,S AT i-Vtech,1,80000,Chennai,529000.0,80000-90000
Volkswagen,2017,Volkswagen Polo,Petrol,1.2 MPI Highline Plus,1,78735,Chennai,684000.0,70000-80000
Ford,2018,Ford Ecosport,Diesel,1.5 Diesel Titanium BSIV,2,72955,Chennai,813000.0000000001,70000-80000
Maruti,2015,Maruti Ciaz,Petrol,1.4 AT Zeta,1,40000,Chennai,650000.0,40000-50000
Jeep,2021,Jeep Compass,Petrol,1.4 Sport BSVI,1,14037,Chennai,1802000.0,10000-20000
Hyundai,2019,Hyundai i20,Petrol,Magna Plus,1,29000,Chennai,745000.0,20000-30000
Maruti,2017,Maruti Baleno,Petrol,1.2 Zeta,1,69864,Chennai,619000.0,60000-70000
Hyundai,2019,Hyundai Xcent,Petrol,1.2 VTVT SX,1,35739,Chennai,650000.0,30000-40000
Maruti,2019,Maruti Ertiga,Diesel,SHVS VDI,1,18000,Chennai,1145000.0,10000-20000
Tata,2019,Tata Harrier,Diesel,XZ BSVI,1,21000,Chennai,1600000.0,20000-30000
Maruti,2016,Maruti Baleno,Petrol,1.2 Delta,1,70404,Chennai,540000.0,70000-80000
Volkswagen,2015,Volkswagen Vento,Petrol,1.6 Highline,1,63000,Chennai,675000.0,60000-70000
Volkswagen,2017,Volkswagen Ameo,Petrol,1.2 MPI Highline Plus,2,88000,Chennai,510000.0,80000-90000
Honda,2017,Honda City,Petrol,i-VTEC VX,1,65000,Chennai,830000.0000000001,60000-70000
Land Rover,2017,Land Rover Discovery Sport,Diesel,SD4 HSE Luxury 7S,2,30000,Chennai,3900000.0,30000-40000
Honda,2012,Honda City,Petrol,V AT,1,71423,Chennai,510000.0,70000-80000
Maruti,2019,Maruti XL6,Petrol,Alpha AT,1,80000,Chennai,1200000.0,80000-90000
Honda,2017,Honda City,Petrol,i VTEC V,1,85759,Chennai,766000.0,80000-90000
Hyundai,2019,Hyundai Santro,Petrol,Era Executive BSIV,1,24422,Chennai,449000.0,20000-30000
Honda,2012,Honda Brio,Petrol,V MT,2,67091,Chennai,317000.0,60000-70000
MG,2020,MG Hector,Petrol,Hybrid Sharp MT,1,72787,Chennai,1560000.0,70000-80000
Hyundai,2017,Hyundai Grand i10,Petrol,1.2 Kappa Sportz Option,1,90142,Chennai,522000.0,90000-100000
Ford,2018,Ford Freestyle,Petrol,Titanium Plus Petrol BSIV,1,33256,Chennai,627000.0,30000-40000
Maruti,2018,Maruti Baleno,Petrol,1.2 CVT Alpha,1,70027,Chennai,687000.0,70000-80000
Volkswagen,2015,Volkswagen Polo,Petrol,1.2 MPI Comfortline,2,60000,Chennai,525000.0,60000-70000
Maruti,2017,Maruti Swift,Diesel,VDI BSIV,1,73686,Chennai,620000.0,70000-80000
Mahindra,2018,Mahindra TUV 300,Diesel,T8,2,44000,Chennai,825000.0,40000-50000
Maruti,2015,Maruti Swift,Petrol,VXI,1,75581,Chennai,530000.0,70000-80000
Mercedes-Benz,2015,Mercedes-Benz M-Class,Diesel,ML 250 CDI,1,58000,Chennai,3600000.0,50000-60000
Audi,2015,Audi A3,Diesel,35 TDI Technology,2,50000,Chennai,1950000.0,50000-60000
Mahindra,2015,Mahindra TUV 300,Diesel,T8,1,100000,Chennai,650000.0,100000-110000
Maruti,2017,Maruti Ciaz,Diesel,1.3 Sigma,1,108902,Chennai,650000.0,100000-110000
Volkswagen,2016,Volkswagen Ameo,Diesel,1.5 TDI Highline,1,100425,Chennai,570000.0,100000-110000
Hyundai,2016,Hyundai Xcent,Petrol,1.2 Kappa SX Option,2,70887,Chennai,458000.0,70000-80000
Honda,2018,Honda WR-V,Petrol,i-VTEC VX,1,45000,Chennai,900000.0,40000-50000
Hyundai,2021,Hyundai Grand i10 Nios,Petrol,Sportz,1,45416,Chennai,649000.0,40000-50000
Volkswagen,2015,Volkswagen Vento,Diesel,1.5 TDI Comfortline AT,3,100000,Chennai,650000.0,100000-110000
BMW,2017,BMW 3 Series,Petrol,330i M Sport,1,19000,Chennai,3900000.0,10000-20000
Hyundai,2016,Hyundai Grand i10,Petrol,Magna,2,64906,Chennai,456000.0,60000-70000
Maruti,2016,Maruti Baleno,Petrol,1.2 Delta,2,81484,Chennai,502000.0,80000-90000
Maruti,2018,Maruti Swift Dzire,Petrol,LXI 1.2,1,45067,Chennai,685000.0,40000-50000
Mercedes-Benz,2018,Mercedes-Benz S-Class,Petrol,Maybach S500,1,68000,Chennai,11000000.0,60000-70000
Honda,2016,Honda Jazz,Petrol,1.2 S i VTEC,1,65768,Chennai,580000.0,60000-70000
Honda,2016,Honda Jazz,Petrol,1.2 VX i VTEC,2,61000,Chennai,530000.0,60000-70000
BMW,2018,BMW 5 Series,Diesel,520d Luxury Line,1,23000,Chennai,4375000.0,20000-30000
BMW,2018,BMW 7 Series,Diesel,Signature 730Ld,1,17000,Chennai,8200000.0,10000-20000
Maruti,2017,Maruti Celerio,Petrol,ZXI AT Optional,1,102958,Chennai,420000.0,100000-110000
Toyota,2013,Toyota Corolla Altis,Diesel,Diesel D4DG,1,62900,Chennai,775000.0,60000-70000
Maruti,2015,Maruti Wagon R,Petrol,VXI BS IV,2,65076,Chennai,395000.0,60000-70000
Maruti,2016,Maruti Baleno,Petrol,1.2 Delta,1,75876,Chennai,533000.0,70000-80000
Hyundai,2015,Hyundai i20,Petrol,Asta 1.2,1,98911,Chennai,547000.0,90000-100000
Maruti,2015,Maruti Celerio,Petrol,VXI,1,45000,Chennai,395000.0,40000-50000
Hyundai,2017,Hyundai Verna,Diesel,1.6 CRDI AT SX Option,1,76089,Chennai,908000.0,70000-80000
Hyundai,2017,Hyundai Grand i10,Petrol,1.2 Kappa Sportz BSIV,2,54505,Chennai,521000.0,50000-60000
Audi,2019,Audi A3,Diesel,35 TDI Technology,1,24000,Chennai,2290000.0,20000-30000
Maruti,2016,Maruti Swift Dzire,Petrol,VXI,1,96573,Chennai,507000.0,90000-100000
Kia,2019,Kia Seltos,Diesel,HTX Diesel AT,1,30000,Chennai,1625000.0,30000-40000
Hyundai,2016,Hyundai Grand i10,Petrol,Asta Option,2,63720,Chennai,528000.0,60000-70000
Maruti,2021,Maruti Alto 800,Petrol,VXI BSVI,1,14411,Chennai,435000.0,10000-20000
Volkswagen,2022,Volkswagen Taigun,Petrol,1.0 TSI Highline AT BSVI,1,11000,Chennai,1490000.0,10000-20000
Skoda,2022,Skoda Kushaq,Petrol,1.5 TSI Style DSG,1,21000,Chennai,1789999.9999999998,20000-30000
Honda,2017,Honda WR-V,Petrol,i-VTEC S,1,34392,Chennai,625000.0,30000-40000
Hyundai,2022,Hyundai Grand i10 Nios,Petrol,Sportz,1,20000,Chennai,690000.0,20000-30000
Kia,2022,Kia Sonet,Petrol,GTX Plus Turbo iMT BSVI,1,10000,Chennai,1350000.0,10000-20000
MG,2022,MG Astor,Petrol,Savvy CVT BSVI,1,20000,Chennai,1550000.0,20000-30000
Toyota,2019,Toyota Glanza,Petrol,V CVT,1,47000,Chennai,790000.0,40000-50000
Maruti,2014,Maruti Alto K10,Petrol,VXI,2,60333,Chennai,270000.0,60000-70000
Hyundai,2014,Hyundai Grand i10,Diesel,1.2 CRDi Sportz,1,81058,Chennai,365000.0,80000-90000
Honda,2010,Honda Civic,Petrol,1.8 S MT,2,51800,Chennai,425000.0,50000-60000
Hyundai,2016,Hyundai Grand i10,Petrol,Asta Option,2,32797,Chennai,528000.0,30000-40000
Hyundai,2016,Hyundai Grand i10,Petrol,Asta Option,1,69731,Chennai,511000.00000000006,60000-70000
Honda,2016,Honda City,Petrol,i VTEC V,2,54000,Chennai,625000.0,50000-60000
Mahindra,2018,Mahindra KUV 100,Petrol,mFALCON G80 K8,1,31767,Chennai,505000.0,30000-40000
Honda,2018,Honda WR-V,Petrol,i-VTEC VX,2,45677,Chennai,640000.0,40000-50000
Maruti,2017,Maruti Celerio,Petrol,ZXI,1,66656,Chennai,449000.0,60000-70000
Honda,2019,Honda Amaze,Diesel,S Diesel,1,27000,Chennai,725000.0,20000-30000
Renault,2021,Renault KWID,Petrol,1.0 RXT Opt,1,37004,Chennai,495000.0,30000-40000
Hyundai,2011,Hyundai i10,Petrol,Magna,2,85274,Chennai,271000.0,80000-90000
Hyundai,2017,Hyundai Creta,Diesel,1.6 CRDi SX,2,60000,Chennai,940000.0,60000-70000
Honda,2017,Honda City,Petrol,V MT,1,42000,Chennai,799000.0,40000-50000
Hyundai,2022,Hyundai Creta,Diesel,SX Opt Diesel BSVI,1,20000,Chennai,1850000.0,20000-30000
Kia,2022,Kia Carens,Diesel,Luxury Plus Diesel AT BSVI,1,30000,Chennai,2000000.0,30000-40000
Mercedes-Benz,2017,Mercedes-Benz E-Class,Diesel,Exclusive E 220 d BSIV,1,25000,Chennai,4500000.0,20000-30000
Mahindra,2014,Mahindra XUV500,Diesel,W6 2WD,3,80000,Chennai,700000.0,80000-90000
Hyundai,2015,Hyundai Verna,Petrol,1.6 SX VTVT (O),2,60000,Chennai,585000.0,60000-70000
Tata,2022,Tata Harrier,Diesel,XZ Plus BSVI,1,20000,Chennai,2050000.0,20000-30000
MG,2022,MG Hector,Petrol,Sharp CVT,1,20000,Chennai,1990000.0,20000-30000
MG,2022,MG Hector,Petrol,Sharp CVT,1,20000,Chennai,1990000.0,20000-30000
Hyundai,2020,Hyundai Creta,Diesel,SX Opt Diesel BSVI,2,55037,Chennai,1445000.0,50000-60000
Hyundai,2018,Hyundai Santro,Petrol,Magna BSIV,1,65607,Chennai,451000.0,60000-70000
Hyundai,2016,Hyundai i20,Petrol,Asta Option 1.2,1,74777,Chennai,631000.0,70000-80000
Toyota,2012,Toyota Etios,Petrol,G,2,102392,Chennai,411000.00000000006,100000-110000
Skoda,2015,Skoda Rapid,Diesel,1.5 TDI Ambition Plus,1,90210,Chennai,500000.0,90000-100000
Maruti,2014,Maruti Swift Dzire,Petrol,VXI,1,62373,Chennai,488000.0,60000-70000
Tata,2015,Tata Zest,Diesel,Quadrajet 1.3 75PS XE,1,80000,Chennai,460000.0,80000-90000
Maruti,2018,Maruti Celerio,Petrol,ZXI AMT,2,25219,Chennai,514000.0,20000-30000
Maruti,2014,Maruti Swift,Diesel,VDI BSIV,3,64409,Chennai,508000.0,60000-70000
Tata,2018,Tata Nexon,Diesel,1.5 Revotorq XZ Plus,1,52000,Chennai,865000.0,50000-60000
Maruti,2018,Maruti Ciaz,Petrol,Alpha Automatic BSIV,2,30000,Chennai,855000.0000000001,30000-40000
Mercedes-Benz,2020,Mercedes-Benz S-Class,Diesel,S 350 d,1,14000,Chennai,11800000.0,10000-20000
Hyundai,2019,Hyundai Venue,Diesel,S Diesel BSIV,1,48574,Chennai,925000.0,40000-50000
Honda,2012,Honda City,Petrol,1.5 V AT,1,71423,Chennai,510000.0,70000-80000
Mercedes-Benz,2020,Mercedes-Benz E-Class,Diesel,Exclusive E 220 d BSIV,1,30000,Chennai,5700000.0,30000-40000
Maruti,2013,Maruti Wagon R,Petrol,VXI BS IV,1,75498,Chennai,350000.0,70000-80000
Honda,2017,Honda City,Petrol,i VTEC S,1,95963,Chennai,630000.0,90000-100000
Maruti,2015,Maruti Wagon R,Petrol,VXI BS IV,1,46613,Chennai,410000.0,40000-50000
Honda,2017,Honda WR-V,Petrol,i-VTEC VX,1,30000,Chennai,725000.0,30000-40000
Honda,2015,Honda Amaze,Petrol,S i-Vtech,1,18722,Chennai,466000.0,10000-20000
Kia,2023,Kia Seltos,Petrol,GTX Plus DCT,1,5593,Chennai,1864000.0,0-10000
Audi,2017,Audi Q3,Diesel,35 TDI Quattro Premium,1,40000,Chennai,2700000.0,40000-50000
Maruti,2021,Maruti Celerio,Petrol,VXI BSVI,1,20875,Chennai,503000.0,20000-30000
Renault,2018,Renault KWID,Petrol,RXL,2,46436,Chennai,309000.0,40000-50000
Hyundai,2021,Hyundai Venue,Petrol,S Plus,1,12814,Chennai,841000.0,10000-20000
Tata,2022,Tata New Safari,Diesel,XT,1,26000,Chennai,1890000.0,20000-30000
Hyundai,2011,Hyundai i10,Petrol,Magna,1,45851,Chennai,288000.0,40000-50000
Hyundai,2021,Hyundai Venue,Petrol,SX Turbo iMT,1,36349,Chennai,940000.0,30000-40000
Volkswagen,2018,Volkswagen Polo,Petrol,GT TSI,1,35000,Chennai,844999.9999999999,30000-40000
Tata,2021,Tata New Safari,Diesel,XZA Plus AT BSVI,1,17059,Chennai,2056000.0,10000-20000
BMW,2019,BMW X5,Diesel,xDrive 30d xLine,1,37000,Chennai,7700000.0,30000-40000
Maruti,2016,Maruti Wagon R,Petrol,VXI BS IV,2,48163,Chennai,400000.0,40000-50000
Maruti,2013,Maruti Swift Dzire,Petrol,VXI,3,40000,Chennai,425000.0,40000-50000
Volkswagen,2020,Volkswagen Polo,Petrol,1.0 MPI Comfortline,1,20000,Chennai,750000.0,20000-30000
Hyundai,2019,Hyundai Creta,Diesel,1.6 SX Automatic Diesel,1,47000,Chennai,1689999.9999999998,40000-50000
Toyota,2020,Toyota Fortuner,Diesel,2.8 4WD AT,1,53000,Chennai,3900000.0,50000-60000
Maruti,2016,Maruti Celerio,Petrol,VXI AMT,2,65895,Chennai,437000.0,60000-70000
Mahindra,2022,Mahindra XUV300,Petrol,W6 AMT Sunroof BSVI,1,15625,Chennai,1026000.0,10000-20000
Maruti,2015,Maruti Swift,Diesel,ZDI BSIV,1,107595,Chennai,560000.0,100000-110000
Maruti,2017,Maruti Ignis,Petrol,1.2 Zeta BSIV,1,23838,Chennai,532000.0,20000-30000
Maruti,2015,Maruti Alto K10,Petrol,VXI,1,28975,Chennai,323000.0,20000-30000
Honda,2018,Honda WR-V,Petrol,i-VTEC VX,1,30742,Chennai,770000.0,30000-40000
Maruti,2022,Maruti S-Presso,Petrol,VXI Plus 2019-2022,1,10363,Chennai,492000.0,10000-20000
Honda,2015,Honda City,Petrol,i VTEC V,1,100000,Chennai,650000.0,100000-110000
Honda,2016,Honda City,Petrol,i VTEC V,1,75555,Chennai,633000.0,70000-80000
Hyundai,2018,Hyundai Creta,Petrol,1.6 SX,2,60929,Chennai,982000.0,60000-70000
Maruti,2018,Maruti Ignis,Petrol,Delta BSVI,1,43000,Chennai,480000.0,40000-50000
Honda,2015,Honda Brio,Petrol,1.2 VX MT,1,63309,Chennai,430000.0,60000-70000
BMW,2019,BMW 7 Series,Diesel,Signature 730Ld,1,53000,Chennai,7600000.0,50000-60000
Maruti,2019,Maruti Baleno,Petrol,Alpha,1,39386,Chennai,790000.0,30000-40000
BMW,2018,BMW 6 Series,Diesel,GT 630d M Sport 2018-2021,1,42000,Chennai,5200000.0,40000-50000
Renault,2021,Renault Triber,Petrol,RXZ EASY-R AMT BSVI,1,29257,Chennai,776000.0,20000-30000
Maruti,2017,Maruti Baleno,Petrol,1.2 CVT Zeta,1,61829,Chennai,702000.0,60000-70000
Maruti,2014,Maruti Alto K10,Petrol,VXI,1,83901,Chennai,290000.0,80000-90000
Maruti,2014,Maruti Celerio,Petrol,VXI,1,33295,Chennai,383000.0,30000-40000
Maruti,2015,Maruti Celerio,Petrol,VXI,1,33610,Chennai,411000.00000000006,30000-40000
Maruti,2014,Maruti Ciaz,Diesel,ZDi,1,95600,Chennai,615000.0,90000-100000
Tata,2018,Tata Tiago,Petrol,1.2 Revotron XZ,1,20960,Chennai,515000.00000000006,20000-30000
BMW,2016,BMW 3 Series,Diesel,320d Luxury Line,1,66000,Chennai,2575000.0,60000-70000
Hyundai,2015,Hyundai i20,Petrol,Sportz 1.2,2,85105,Chennai,507000.0,80000-90000
Hyundai,2016,Hyundai EON,Petrol,Sportz,2,44519,Chennai,322000.0,40000-50000
Maruti,2017,Maruti Baleno,Petrol,1.2 Delta,1,54024,Chennai,575000.0,50000-60000
Maruti,2020,Maruti Baleno,Petrol,Zeta,1,20027,Chennai,850000.0,20000-30000
Audi,2019,Audi A6,Diesel,2.0 TDI  Design Edition,1,44000,Chennai,3700000.0,40000-50000
Audi,2014,Audi Q3,Diesel,2.0 TDI,1,58000,Chennai,1800000.0,50000-60000
Honda,2013,Honda Amaze,Diesel,VX i-DTEC,1,67905,Chennai,425000.0,60000-70000
Maruti,2017,Maruti Baleno,Petrol,Zeta,1,62604,Chennai,650000.0,60000-70000
Honda,2014,Honda Amaze,Diesel,VX i-DTEC,1,105781,Chennai,450000.0,100000-110000
Maruti,2017,Maruti Ciaz,Petrol,1.4 Zeta,1,68724,Chennai,720000.0,60000-70000
Maruti,2014,Maruti Celerio,Petrol,VXI AT,1,67000,Chennai,425000.0,60000-70000
Maruti,2016,Maruti Celerio,Petrol,VXI AT,2,65628,Chennai,437000.0,60000-70000
Volkswagen,2014,Volkswagen Polo,Petrol,1.2 MPI Highline,1,106075,Chennai,410000.0,100000-110000
Maruti,2022,Maruti Ignis,Petrol,Alpha BSVI,1,6023,Chennai,731000.0,0-10000
Tata,2018,Tata Tiago,Petrol,1.2 Revotron XZ,2,38999,Chennai,502000.0,30000-40000
Toyota,2018,Toyota Innova Crysta,Diesel,2.4 VX MT,1,105000,Chennai,2050000.0,100000-110000
Tata,2022,Tata New Safari,Diesel,XTA Plus AT BSVI,1,7811,Chennai,1963000.0,0-10000
Maruti,2011,Maruti Alto K10,Petrol,2010-2014 VXI,2,58747,Chennai,222000.00000000003,50000-60000
Tata,2019,Tata Harrier,Diesel,XZ BSIV,1,34965,Chennai,1497000.0,30000-40000
Ford,2015,Ford Ecosport,Diesel,1.5 DV5 MT Titanium Optional,2,106360,Chennai,529000.0,100000-110000
Mercedes-Benz,2020,Mercedes-Benz GLE,Diesel,300d BSVI,1,30000,Chennai,7450000.0,30000-40000
Toyota,2021,Toyota Urban cruiser,Petrol,Premium,1,26000,Chennai,975000.0,20000-30000
Kia,2020,Kia Seltos,Petrol,HTX IVT,1,25000,Chennai,1450000.0,20000-30000
Mercedes-Benz,2021,Mercedes-Benz GLC,Diesel,220d 4MATIC,1,35000,Chennai,6200000.0,30000-40000
Maruti,2020,Maruti Swift,Petrol,LXI,1,57000,Chennai,595000.0,50000-60000
Hyundai,2017,Hyundai Creta,Petrol,1.6 VTVT E Plus,1,49000,Chennai,767000.0,40000-50000
Hyundai,2022,Hyundai i20,Petrol,Sportz BSVI,1,30000,Chennai,825000.0,30000-40000
Hyundai,2014,Hyundai i10,Petrol,Sportz AT,3,40000,Chennai,335000.0,40000-50000
Honda,2015,Honda Jazz,Petrol,1.2 V AT i VTEC,1,53250,Chennai,558000.0,50000-60000
Tata,2022,Tata Tiago,Petrol,XT BSVI,1,8848,Chennai,649000.0,0-10000
Tata,2022,Tata Harrier,Diesel,XZA Plus Dark Edition AT,1,3000,Chennai,2250000.0,0-10000
Skoda,2021,Skoda Rapid,Petrol,1.0 TSI Monte Carlo,1,34628,Chennai,1110000.0,30000-40000
Maruti,2022,Maruti Ignis,Petrol,Zeta BSVI,1,8579,Chennai,672000.0,0-10000
Renault,2022,Renault Triber,Petrol,RXT BSVI,1,17000,Chennai,675000.0,10000-20000
Honda,2017,Honda City,Petrol,i VTEC V,1,40021,Chennai,795000.0,40000-50000
Mercedes-Benz,2021,Mercedes-Benz GLS,Diesel,400d 4MATIC BSVI,1,52000,Chennai,11299999.999999998,50000-60000
