oem,modelYear,model,ft,ownerNo,City,price_cleaned,km_bucket
Tata,2015,Tata Indica V2,Diesel,2,Bangalore,150000.0,80000-90000
Mahindra,2018,Mahindra KUV 100,Petrol,1,Bangalore,618000.0,10000-20000
Honda,2021,Honda Jazz,Petrol,1,Bangalore,916000.0,20000-30000
Ford,2012,Ford Figo,Diesel,1,Bangalore,300000.0,80000-90000
Maruti,2022,Maruti S-Presso,Petrol,1,Bangalore,555000.0,0-10000
Skoda,2011,Skoda Superb,Diesel,3,Bangalore,500000.0,80000-90000
Maruti,2021,Maruti Baleno,Petrol,1,Bangalore,950000.0,0-10000
Maruti,2016,Maruti Swift Dzire,Petrol,1,Bangalore,608000.0,60000-70000
Jaguar,2011,Jaguar XJ,Petrol,2,Bangalore,1700000.0,90000-100000
Jaguar,2011,Jaguar XJ,Petrol,2,Bangalore,1700000.0,90000-100000
Ford,2013,Ford Figo,Diesel,1,Bangalore,225000.0,50000-60000
Skoda,2010,Skoda Fabia,Diesel,2,Bangalore,249000.00000000003,100000-110000
Ford,2016,Ford Mondeo,Petrol,2,Bangalore,50000.0,80000-90000
Honda,2015,Honda Amaze,Petrol,2,Bangalore,375000.0,50000-60000
Renault,2022,Renault KWID,Petrol,1,Bangalore,550000.0,10000-20000
Hyundai,2019,Hyundai Grand i10,Petrol,1,Bangalore,590000.0,30000-40000
Maruti,2018,Maruti Celerio X,Petrol,1,Bangalore,511000.00000000006,40000-50000
Renault,2017,Renault KWID,Petrol,1,Bangalore,381000.0,40000-50000
Mahindra,2014,Mahindra XUV500,Diesel,2,Bangalore,819000.0,60000-70000
Maruti,2016,Maruti Baleno,Petrol,1,Bangalore,575000.0,20000-30000
Renault,2019,Renault KWID,Petrol,2,Bangalore,428000.0,10000-20000
Maruti,2020,Maruti Swift,Petrol,1,Bangalore,696000.0,50000-60000
Hyundai,2020,Hyundai Grand i10 Nios,Petrol,1,Bangalore,740000.0,30000-40000
Mahindra,2013,Mahindra XUV500,Diesel,2,Bangalore,825000.0,90000-100000
Hyundai,2011,Hyundai i10,Petrol,1,Bangalore,300000.0,30000-40000
Tata,2016,Tata Tiago,Diesel,1,Bangalore,500000.0,60000-70000
Mahindra,2022,Mahindra Thar,Petrol,1,Bangalore,1500000.0,20000-30000
Hyundai,2010,Hyundai i10,Petrol,1,Bangalore,275000.0,90000-100000
Jaguar,2014,Jaguar XF,Diesel,2,Bangalore,2000000.0,60000-70000
Mahindra,2016,Mahindra XUV500,Diesel,2,Bangalore,1013000.0,20000-30000
Honda,2016,Honda City,Petrol,2,Bangalore,677000.0,30000-40000
Hyundai,2017,Hyundai i20,Petrol,3,Bangalore,591000.0,50000-60000
Maruti,2020,Maruti S-Presso,Petrol,1,Bangalore,428000.0,20000-30000
Toyota,2010,Toyota Fortuner,Diesel,2,Bangalore,1145000.0,100000-110000
Hyundai,2022,Hyundai Grand i10 Nios,Petrol,1,Bangalore,697000.0,10000-20000
Maruti,2020,Maruti Swift Dzire,Petrol,3,Bangalore,630000.0,30000-40000
Maruti,2021,Maruti Alto 800,Petrol,1,Bangalore,429000.0,10000-20000
Maruti,2016,Maruti Celerio,Petrol,2,Bangalore,464000.0,10000-20000
Renault,2019,Renault Triber,Petrol,1,Bangalore,750000.0,40000-50000
Hyundai,2019,Hyundai Venue,Petrol,2,Bangalore,1100000.0,30000-40000
Hyundai,2014,Hyundai Elantra,Diesel,1,Bangalore,700000.0,90000-100000
Mercedes-Benz,2013,Mercedes-Benz C-Class,Diesel,2,Bangalore,1100000.0,110000-120000
Skoda,2022,Skoda Kushaq,Petrol,1,Bangalore,1695000.0,20000-30000
Maruti,2021,Maruti Eeco,Petrol,1,Bangalore,500000.0,10000-20000
Datsun,2020,Datsun RediGO,Petrol,1,Bangalore,360000.0,50000-60000
Honda,2017,Honda Jazz,Petrol,1,Bangalore,733000.0,10000-20000
Maruti,2013,Maruti Wagon R,Petrol,1,Bangalore,375000.0,70000-80000
Tata,2021,Tata Harrier,Diesel,2,Bangalore,1885000.0,50000-60000
Hyundai,2016,Hyundai i20,Petrol,1,Bangalore,657000.0,10000-20000
Maruti,2019,Maruti Baleno,Petrol,1,Bangalore,729000.0,50000-60000
Tata,2021,Tata Tigor,Petrol,1,Bangalore,800000.0,20000-30000
Renault,2019,Renault KWID,Petrol,2,Bangalore,501000.0,0-10000
Mahindra,2016,Mahindra TUV 300,Diesel,2,Bangalore,650000.0,100000-110000
Honda,2017,Honda City,Petrol,1,Bangalore,1005000.0,50000-60000
Tata,2022,Tata Nexon,Petrol,1,Bangalore,1193000.0,10000-20000
Volkswagen,2019,Volkswagen Polo,Petrol,1,Bangalore,900000.0,10000-20000
Mahindra,2022,Mahindra XUV700,Diesel,1,Bangalore,2150000.0,10000-20000
Volkswagen,2017,Volkswagen Polo,Petrol,1,Bangalore,925000.0,70000-80000
Volkswagen,2017,Volkswagen Polo,Petrol,2,Bangalore,865000.0,60000-70000
Volkswagen,2021,Volkswagen Taigun,Petrol,1,Bangalore,1585000.0,0-10000
Mercedes-Benz,2012,Mercedes-Benz M-Class,Diesel,3,Bangalore,1800000.0,80000-90000
Mercedes-Benz,2018,Mercedes-Benz GLE,Petrol,1,Bangalore,7000000.0,30000-40000
Hyundai,2018,Hyundai i20,Petrol,1,Bangalore,799000.0,20000-30000
Ford,2017,Ford Ecosport,Petrol,1,Bangalore,689000.0,80000-90000
Tata,2023,Tata Nexon,Petrol,1,Bangalore,1068000.0,10000-20000
Jeep,2018,Jeep Compass,Diesel,1,Bangalore,1798999.9999999998,50000-60000
Maruti,2020,Maruti S-Presso,Petrol,2,Bangalore,383000.0,50000-60000
Maruti,2018,Maruti Alto 800,Petrol,2,Bangalore,327000.0,50000-60000
Hyundai,2019,Hyundai Grand i10 Nios,Petrol,1,Bangalore,639000.0,20000-30000
Renault,2013,Renault Duster,Diesel,2,Bangalore,575000.0,60000-70000
Ford,2017,Ford Ecosport,Petrol,2,Bangalore,660000.0,40000-50000
Maruti,2017,Maruti Alto 800,Petrol,2,Bangalore,325000.0,40000-50000
Toyota,2022,Toyota Urban cruiser,Petrol,1,Bangalore,1075000.0,20000-30000
Toyota,2022,Toyota Urban cruiser,Petrol,1,Bangalore,975000.0,20000-30000
Hyundai,2010,Hyundai i10,Petrol,3,Bangalore,300000.0,70000-80000
Maruti,2011,Maruti SX4,Diesel,3,Bangalore,290000.0,110000-120000
Honda,2012,Honda Brio,Petrol,3,Bangalore,260000.0,40000-50000
Nissan,2012,Nissan Sunny,Diesel,3,Bangalore,360000.0,100000-110000
Mahindra,2021,Mahindra Thar,Petrol,1,Bangalore,1773999.9999999998,20000-30000
Hyundai,2020,Hyundai Venue,Petrol,2,Bangalore,1073000.0,30000-40000
Maruti,2017,Maruti Alto K10,Petrol,2,Bangalore,349000.0,20000-30000
Maruti,2018,Maruti Celerio,Petrol,1,Bangalore,485000.0,30000-40000
Maruti,2021,Maruti Wagon R,Petrol,1,Bangalore,591000.0,10000-20000
Hyundai,2016,Hyundai i20,Petrol,1,Bangalore,657000.0,30000-40000
Hyundai,2018,Hyundai Grand i10,Petrol,1,Bangalore,591000.0,40000-50000
Volkswagen,2014,Volkswagen Polo,Diesel,2,Bangalore,510000.0,70000-80000
Hyundai,2017,Hyundai i20,Petrol,1,Bangalore,658000.0,40000-50000
Renault,2021,Renault KWID,Petrol,1,Bangalore,514000.0,10000-20000
Hyundai,2011,Hyundai i10,Petrol,2,Bangalore,330000.0,70000-80000
Citroen,2022,Citroen C3,Petrol,1,Bangalore,950000.0,10000-20000
Volkswagen,2014,Volkswagen Polo,Petrol,3,Bangalore,495000.0,80000-90000
Toyota,2011,Toyota Etios,Petrol,1,Bangalore,330000.0,80000-90000
Volkswagen,2016,Volkswagen Vento,Diesel,1,Bangalore,775000.0,80000-90000
Maruti,2010,Maruti Wagon R,Petrol,2,Bangalore,260000.0,110000-120000
Maruti,2019,Maruti Swift,Petrol,1,Bangalore,650000.0,30000-40000
Maruti,2016,Maruti Alto K10,Petrol,1,Bangalore,375000.0,50000-60000
Hyundai,2016,Hyundai i20,Petrol,1,Bangalore,647000.0,20000-30000
Ford,2011,Ford Figo,Diesel,2,Bangalore,245000.00000000003,80000-90000
Maruti,2017,Maruti Ignis,Petrol,1,Bangalore,591000.0,40000-50000
Hyundai,2018,Hyundai Grand i10,Petrol,1,Bangalore,575000.0,30000-40000
Maruti,2017,Maruti Swift Dzire,Petrol,1,Bangalore,659000.0,30000-40000
Maruti,2020,Maruti Baleno,Petrol,1,Bangalore,733000.0,20000-30000
Maruti,2020,Maruti Baleno,Petrol,2,Bangalore,867000.0,20000-30000
Honda,2019,Honda Jazz,Petrol,1,Bangalore,850000.0,20000-30000
Renault,2021,Renault Kiger,Petrol,1,Bangalore,920000.0,20000-30000
Hyundai,2019,Hyundai i20,Diesel,1,Bangalore,720000.0,30000-40000
Hyundai,2012,Hyundai i20,Petrol,2,Bangalore,350000.0,80000-90000
Volkswagen,2010,Volkswagen Polo,Diesel,2,Bangalore,360000.0,100000-110000
Audi,2013,Audi A6,Diesel,1,Bangalore,1600000.0,80000-90000
Skoda,2018,Skoda Octavia,Diesel,1,Bangalore,1600000.0,70000-80000
Hyundai,2013,Hyundai i20,Diesel,2,Bangalore,381000.0,90000-100000
Renault,2019,Renault KWID,Petrol,1,Bangalore,445000.0,50000-60000
Maruti,2018,Maruti Swift,Petrol,1,Bangalore,642000.0,50000-60000
Maruti,2022,Maruti Baleno,Petrol,1,Bangalore,725000.0,30000-40000
Hyundai,2017,Hyundai i20,Petrol,1,Bangalore,616000.0,70000-80000
Honda,2018,Honda WR-V,Petrol,1,Bangalore,694000.0,40000-50000
Mahindra,2016,Mahindra Bolero,Diesel,1,Bangalore,650000.0,80000-90000
Datsun,2018,Datsun RediGO,Petrol,2,Bangalore,300000.0,50000-60000
Maruti,2018,Maruti Swift,Petrol,1,Bangalore,649000.0,30000-40000
Volkswagen,2010,Volkswagen Polo,Diesel,2,Bangalore,360000.0,100000-110000
Volkswagen,2010,Volkswagen Polo,Diesel,2,Bangalore,360000.0,100000-110000
Hyundai,2021,Hyundai Grand i10 Nios,Petrol,1,Bangalore,800000.0,30000-40000
Maruti,2016,Maruti Celerio,Petrol,2,Bangalore,415000.00000000006,40000-50000
Maruti,2011,Maruti Swift,Petrol,1,Bangalore,384000.0,60000-70000
Hyundai,2016,Hyundai i20,Diesel,1,Bangalore,782000.0,30000-40000
Maruti,2016,Maruti Celerio,Petrol,1,Bangalore,463000.0,60000-70000
Honda,2017,Honda Jazz,Diesel,1,Bangalore,660000.0,60000-70000
Maruti,2018,Maruti Swift,Petrol,1,Bangalore,663000.0,20000-30000
Ford,2018,Ford Ecosport,Petrol,2,Bangalore,900000.0,30000-40000
Maruti,2015,Maruti Celerio,Petrol,1,Bangalore,436000.00000000006,40000-50000
Hyundai,2018,Hyundai Creta,Diesel,1,Bangalore,1350000.0,30000-40000
BMW,2011,BMW 3 Series,Diesel,3,Bangalore,975000.0,80000-90000
Honda,2014,Honda City,Petrol,1,Bangalore,520000.0,100000-110000
Skoda,2022,Skoda Kushaq,Petrol,1,Bangalore,1764999.9999999998,10000-20000
Hyundai,2011,Hyundai i20,Petrol,2,Bangalore,400000.0,40000-50000
Mercedes-Benz,2011,Mercedes-Benz C-Class,Petrol,2,Bangalore,950000.0,60000-70000
Kia,2020,Kia Seltos,Petrol,1,Bangalore,1595000.0,40000-50000
Hyundai,2017,Hyundai Grand i10,Petrol,2,Bangalore,593000.0,10000-20000
Mahindra,2019,Mahindra XUV300,Diesel,1,Bangalore,1057000.0,50000-60000
Renault,2020,Renault KWID,Petrol,1,Bangalore,560000.0,0-10000
Honda,2020,Honda City,Petrol,1,Bangalore,1264000.0,50000-60000
Honda,2022,Honda City,Petrol,1,Bangalore,1666000.0,10000-20000
Honda,2018,Honda City,Petrol,1,Bangalore,789000.0,40000-50000
Maruti,2012,Maruti Swift,Petrol,2,Bangalore,459000.0,70000-80000
Hyundai,2022,Hyundai Venue,Diesel,1,Bangalore,1275000.0,10000-20000
Honda,2010,Honda City,Petrol,1,Bangalore,375000.0,60000-70000
Jeep,2022,Jeep Meridian,Diesel,1,Bangalore,3875000.0,0-10000
Mahindra,2018,Mahindra Thar,Diesel,1,Bangalore,985000.0,50000-60000
Jaguar,2019,Jaguar XE,Diesel,2,Bangalore,3775000.0,10000-20000
Hyundai,2019,Hyundai i20,Petrol,1,Bangalore,825000.0,30000-40000
BMW,2016,BMW 3 Series,Diesel,2,Bangalore,2198000.0,30000-40000
BMW,2013,BMW 1 Series,Petrol,2,Bangalore,1175000.0,80000-90000
Maruti,2017,Maruti Baleno,Petrol,1,Bangalore,656000.0,50000-60000
Maruti,2018,Maruti Swift Dzire,Petrol,1,Bangalore,612000.0,50000-60000
Renault,2019,Renault KWID,Petrol,1,Bangalore,436000.00000000006,20000-30000
Maruti,2020,Maruti Swift Dzire,Petrol,2,Bangalore,721000.0,40000-50000
BMW,2015,BMW X1,Diesel,2,Bangalore,1750000.0,40000-50000
Ford,2017,Ford Ecosport,Petrol,1,Bangalore,620000.0,80000-90000
Mercedes-Benz,2018,Mercedes-Benz C-Class,Diesel,1,Bangalore,3299000.0,50000-60000
Maruti,2017,Maruti Baleno,Petrol,1,Bangalore,643000.0,50000-60000
Ford,2018,Ford Ecosport,Diesel,2,Bangalore,822000.0000000001,30000-40000
Honda,2019,Honda Amaze,Petrol,1,Bangalore,838000.0000000001,10000-20000
Renault,2013,Renault Duster,Diesel,2,Bangalore,625000.0,80000-90000
Skoda,2016,Skoda Octavia,Petrol,1,Bangalore,1125000.0,80000-90000
Jeep,2020,Jeep Compass,Diesel,1,Bangalore,2545000.0,30000-40000
Skoda,2013,Skoda Fabia,Diesel,1,Bangalore,345000.0,110000-120000
Renault,2020,Renault Duster,Diesel,1,Bangalore,999000.0,50000-60000
Ford,2015,Ford Ecosport,Petrol,2,Bangalore,675000.0,50000-60000
Volkswagen,2019,Volkswagen Polo,Petrol,1,Bangalore,875000.0,20000-30000
Maruti,2016,Maruti Celerio,Petrol,1,Bangalore,485000.0,30000-40000
Hyundai,2018,Hyundai i20,Diesel,1,Bangalore,775000.0,30000-40000
Maruti,2018,Maruti Swift,Petrol,2,Bangalore,655000.0,40000-50000
Maruti,2016,Maruti Celerio,Petrol,2,Bangalore,525000.0,40000-50000
Renault,2020,Renault KWID,Petrol,3,Bangalore,442000.0,40000-50000
Hyundai,2012,Hyundai i20,Petrol,1,Bangalore,476000.0,40000-50000
Volkswagen,2017,Volkswagen Polo,Petrol,2,Bangalore,865000.0,60000-70000
Maruti,2010,Maruti Swift,Petrol,2,Bangalore,338000.0,90000-100000
Hyundai,2018,Hyundai Creta,Petrol,2,Bangalore,1299000.0,40000-50000
Maruti,2013,Maruti Swift,Petrol,1,Bangalore,492000.0,50000-60000
Hyundai,2017,Hyundai Grand i10,Petrol,3,Bangalore,544000.0,40000-50000
Mahindra,2016,Mahindra XUV500,Diesel,1,Bangalore,1365000.0,60000-70000
Hyundai,2021,Hyundai Venue,Petrol,1,Bangalore,1085000.0,20000-30000
Skoda,2022,Skoda Slavia,Petrol,1,Bangalore,1488000.0,10000-20000
Skoda,2019,Skoda Rapid,Petrol,2,Bangalore,939000.0,30000-40000
Skoda,2017,Skoda Rapid,Petrol,2,Bangalore,888000.0000000001,30000-40000
Maruti,2014,Maruti Celerio,Petrol,1,Bangalore,425000.0,60000-70000
Honda,2019,Honda Amaze,Petrol,2,Bangalore,818000.0,10000-20000
Mercedes-Benz,2013,Mercedes-Benz E-Class,Diesel,1,Bangalore,1944000.0,70000-80000
Maruti,2018,Maruti Swift,Petrol,1,Bangalore,695000.0,10000-20000
Volkswagen,2010,Volkswagen Vento,Petrol,1,Bangalore,475000.0,50000-60000
Hyundai,2018,Hyundai Grand i10,Petrol,1,Bangalore,551000.0,10000-20000
Maruti,2013,Maruti Wagon R,Petrol,1,Bangalore,352000.0,50000-60000
Honda,2015,Honda City,Petrol,1,Bangalore,600000.0,40000-50000
Maruti,2016,Maruti Celerio,Petrol,2,Bangalore,479000.0,50000-60000
Hyundai,2019,Hyundai Grand i10,Petrol,1,Bangalore,559000.0,40000-50000
Hyundai,2017,Hyundai Tucson,Diesel,1,Bangalore,1519000.0,100000-110000
Maruti,2012,Maruti Swift Dzire,Petrol,1,Bangalore,409000.0,40000-50000
Maruti,2017,Maruti Wagon R,Petrol,1,Bangalore,539000.0,20000-30000
Maruti,2021,Maruti Swift,Petrol,1,Bangalore,737000.0,10000-20000
Honda,2014,Honda City,Diesel,2,Bangalore,526000.0,90000-100000
Mahindra,2016,Mahindra XUV500,Diesel,1,Bangalore,1350000.0,70000-80000
Hyundai,2016,Hyundai Grand i10,Petrol,2,Bangalore,585000.0,50000-60000
Audi,2016,Audi A4,Diesel,2,Bangalore,2100000.0,30000-40000
Maruti,2014,Maruti Swift Dzire,Petrol,1,Bangalore,590000.0,50000-60000
Mahindra,2021,Mahindra XUV500,Diesel,1,Bangalore,1899000.0,20000-30000
Volkswagen,2021,Volkswagen Taigun,Petrol,1,Bangalore,1545000.0,30000-40000
Skoda,2017,Skoda Octavia,Petrol,1,Bangalore,1895000.0,30000-40000
Ford,2018,Ford Freestyle,Petrol,3,Bangalore,540000.0,30000-40000
Maruti,2013,Maruti Swift,Petrol,1,Bangalore,491000.0,60000-70000
Maruti,2021,Maruti S-Presso,Petrol,1,Bangalore,436000.00000000006,50000-60000
Honda,2017,Honda Jazz,Petrol,1,Bangalore,616000.0,60000-70000
Renault,2015,Renault Duster,Petrol,1,Bangalore,675000.0,60000-70000
Maruti,2015,Maruti Swift Dzire,Diesel,2,Bangalore,533000.0,50000-60000
Audi,2015,Audi A3 cabriolet,Petrol,1,Bangalore,3495000.0000000005,20000-30000
Hyundai,2017,Hyundai Grand i10,Petrol,2,Bangalore,626000.0,10000-20000
Tata,2020,Tata Tiago,Petrol,1,Bangalore,632000.0,20000-30000
Honda,2018,Honda City,Petrol,1,Bangalore,1000000.0,0-10000
Audi,2020,Audi A3,Diesel,1,Bangalore,2875000.0,20000-30000
Hyundai,2020,Hyundai Venue,Petrol,1,Bangalore,1085000.0,20000-30000
BMW,2017,BMW 3 Series,Diesel,2,Bangalore,2275000.0,60000-70000
Hyundai,2022,Hyundai Venue,Petrol,1,Bangalore,1365000.0,10000-20000
BMW,2012,BMW X1,Diesel,2,Bangalore,1550000.0,40000-50000
BMW,2018,BMW X1,Diesel,1,Bangalore,3025000.0,40000-50000
BMW,2018,BMW 5 Series,Diesel,2,Bangalore,4275000.0,40000-50000
BMW,2016,BMW X5,Diesel,2,Bangalore,4450000.0,70000-80000
Maruti,2015,Maruti Celerio,Petrol,1,Bangalore,483000.0,30000-40000
Honda,2018,Honda City,Petrol,2,Bangalore,1007000.0,60000-70000
Renault,2019,Renault Duster,Petrol,1,Bangalore,995000.0,30000-40000
Maruti,2016,Maruti Swift Dzire,Petrol,1,Bangalore,573000.0,70000-80000
Maruti,2015,Maruti Swift Dzire,Petrol,1,Bangalore,658000.0,10000-20000
Hyundai,2017,Hyundai Creta,Diesel,1,Bangalore,1245000.0,70000-80000
Maruti,2020,Maruti Baleno,Petrol,1,Bangalore,906000.0,0-10000
Hyundai,2019,Hyundai Creta,Petrol,1,Bangalore,1195000.0,70000-80000
Toyota,2021,Toyota Yaris,Petrol,1,Bangalore,1031000.0,20000-30000
Hyundai,2015,Hyundai Grand i10,Petrol,3,Bangalore,413000.0,50000-60000
Hyundai,2019,Hyundai Grand i10,Petrol,1,Bangalore,624000.0,30000-40000
Hyundai,2011,Hyundai Verna,Diesel,3,Bangalore,465000.00000000006,80000-90000
Honda,2018,Honda City,Petrol,1,Bangalore,1050000.0,40000-50000
Tata,2017,Tata Nexon,Petrol,2,Bangalore,725000.0,40000-50000
Mahindra,2020,Mahindra Thar,Diesel,1,Bangalore,1800000.0,0-10000
Ford,2018,Ford Aspire,Diesel,2,Bangalore,650000.0,70000-80000
Volvo,2014,Volvo S60,Diesel,2,Bangalore,1395000.0,70000-80000
Honda,2021,Honda Amaze,Diesel,1,Bangalore,865000.0,0-10000
BMW,2011,BMW 5 Series,Diesel,2,Bangalore,1423000.0,70000-80000
MG,2023,MG Gloster,Diesel,1,Bangalore,4399000.0,0-10000
Maruti,2014,Maruti Swift Dzire,Petrol,3,Bangalore,475000.0,80000-90000
Honda,2016,Honda City,Petrol,2,Bangalore,747000.0,40000-50000
Kia,2020,Kia Seltos,Petrol,1,Bangalore,1590000.0,20000-30000
Hyundai,2016,Hyundai Grand i10,Petrol,2,Bangalore,520000.0,60000-70000
Maruti,2015,Maruti Swift Dzire,Petrol,1,Bangalore,530000.0,60000-70000
Tata,2018,Tata Tiago,Petrol,1,Bangalore,595000.0,40000-50000
Hyundai,2017,Hyundai Creta,Petrol,2,Bangalore,920000.0,30000-40000
Maruti,2021,Maruti Alto 800,Petrol,1,Bangalore,403000.0,40000-50000
Maruti,2013,Maruti Swift,Petrol,1,Bangalore,415000.00000000006,90000-100000
Honda,2019,Honda Amaze,Petrol,1,Bangalore,850000.0,40000-50000
Kia,2020,Kia Carnival,Diesel,1,Bangalore,2700000.0,50000-60000
Ford,2021,Ford Ecosport,Diesel,1,Bangalore,1145000.0,50000-60000
Mahindra,2018,Mahindra XUV500,Diesel,2,Bangalore,1275000.0,30000-40000
Honda,2017,Honda Jazz,Petrol,1,Bangalore,645000.0,30000-40000
Mahindra,2022,Mahindra XUV300,Petrol,1,Bangalore,1440000.0,10000-20000
Maruti,2019,Maruti Ertiga,Petrol,1,Bangalore,1145000.0,30000-40000
Hyundai,2019,Hyundai Venue,Petrol,1,Bangalore,1225000.0,30000-40000
Mercedes-Benz,2016,Mercedes-Benz S-Class,Diesel,2,Bangalore,5275000.0,30000-40000
BMW,2017,BMW X3,Diesel,3,Bangalore,3800000.0,60000-70000
Honda,2018,Honda City,Petrol,1,Bangalore,888000.0000000001,30000-40000
Maruti,2014,Maruti Swift,Petrol,1,Bangalore,507000.0,40000-50000
Volkswagen,2018,Volkswagen Vento,Petrol,2,Bangalore,1020000.0,20000-30000
Maruti,2021,Maruti S-Presso,Petrol,1,Bangalore,472000.0,40000-50000
Maruti,2014,Maruti Swift,Petrol,1,Bangalore,471000.0,60000-70000
Hyundai,2018,Hyundai i20,Diesel,1,Bangalore,821000.0000000001,50000-60000
Maruti,2015,Maruti Swift,Petrol,1,Bangalore,510000.0,90000-100000
Renault,2022,Renault KWID,Petrol,1,Bangalore,599000.0,10000-20000
Maruti,2016,Maruti Wagon R,Petrol,1,Bangalore,402000.0,80000-90000
Hyundai,2017,Hyundai Creta,Petrol,1,Bangalore,1002000.0,50000-60000
Maruti,2020,Maruti SX4 S Cross,Petrol,1,Bangalore,975000.0,50000-60000
Hyundai,2018,Hyundai i20,Diesel,1,Bangalore,795000.0,60000-70000
Volkswagen,2016,Volkswagen Polo,Petrol,1,Bangalore,550000.0,80000-90000
Tata,2021,Tata Nexon,Petrol,1,Bangalore,1298000.0,0-10000
Maruti,2021,Maruti SX4 S Cross,Petrol,1,Bangalore,1085000.0,20000-30000
Tata,2015,Tata Nano,Petrol,1,Bangalore,335000.0,0-10000
Tata,2020,Tata Nexon,Petrol,1,Bangalore,1109000.0,30000-40000
Fiat,2014,Fiat Linea,Petrol,2,Bangalore,350000.0,80000-90000
Ford,2019,Ford Ecosport,Diesel,1,Bangalore,894999.9999999999,70000-80000
Toyota,2014,Toyota Fortuner,Diesel,2,Bangalore,1775000.0,70000-80000
Maruti,2017,Maruti Celerio,Petrol,1,Bangalore,466000.0,40000-50000
Honda,2019,Honda City,Petrol,2,Bangalore,924000.0,10000-20000
Mahindra,2016,Mahindra Xylo,Diesel,1,Bangalore,775000.0,70000-80000
Maruti,2020,Maruti Alto 800,Petrol,2,Bangalore,378000.0,70000-80000
Maruti,2015,Maruti Swift,Petrol,1,Bangalore,555000.0,20000-30000
Honda,2016,Honda City,Petrol,1,Bangalore,899000.0,30000-40000
Maruti,2019,Maruti Alto 800,Petrol,1,Bangalore,370000.0,40000-50000
Honda,2018,Honda WR-V,Petrol,1,Bangalore,810000.0,20000-30000
Honda,2019,Honda Jazz,Petrol,1,Bangalore,774000.0,60000-70000
Hyundai,2019,Hyundai Santro,Petrol,1,Bangalore,530000.0,30000-40000
Honda,2020,Honda WR-V,Petrol,1,Bangalore,945000.0,20000-30000
Tata,2020,Tata Altroz,Petrol,1,Bangalore,880000.0000000001,20000-30000
Hyundai,2013,Hyundai i20,Diesel,1,Bangalore,525000.0,80000-90000
Jeep,2019,Jeep Compass,Petrol,1,Bangalore,1605000.0,60000-70000
Honda,2020,Honda City,Petrol,1,Bangalore,1170000.0,30000-40000
Hyundai,2017,Hyundai Grand i10,Petrol,1,Bangalore,650000.0,30000-40000
Honda,2019,Honda WR-V,Petrol,1,Bangalore,875000.0,50000-60000
Hyundai,2015,Hyundai Grand i10,Petrol,1,Bangalore,500000.0,70000-80000
Land Rover,2019,Land Rover Range Rover Sport,Diesel,1,Bangalore,9500000.0,80000-90000
Audi,2015,Audi A6,Diesel,1,Bangalore,2195000.0,60000-70000
Hyundai,2015,Hyundai Grand i10,Petrol,2,Bangalore,395000.0,100000-110000
Hyundai,2017,Hyundai Creta,Petrol,1,Bangalore,1300000.0,70000-80000
Maruti,2014,Maruti Swift,Petrol,1,Bangalore,490000.00000000006,50000-60000
Maruti,2017,Maruti Ignis,Petrol,1,Bangalore,520000.0,70000-80000
Honda,2017,Honda Jazz,Petrol,1,Bangalore,616000.0,70000-80000
Honda,2018,Honda WR-V,Petrol,1,Bangalore,825000.0,50000-60000
Honda,2018,Honda City,Petrol,2,Bangalore,838000.0000000001,30000-40000
Maruti,2019,Maruti Swift,Petrol,1,Bangalore,618000.0,70000-80000
Renault,2017,Renault Duster,Diesel,2,Bangalore,875000.0,90000-100000
Nissan,2010,Nissan Micra,Petrol,2,Bangalore,390000.0,40000-50000
Honda,2012,Honda City,Petrol,2,Bangalore,500000.0,90000-100000
Mercedes-Benz,2014,Mercedes-Benz GL-Class,Diesel,2,Bangalore,4100000.0,70000-80000
Jeep,2020,Jeep Compass,Diesel,1,Bangalore,2190000.0,20000-30000
Toyota,2018,Toyota Yaris,Petrol,1,Bangalore,795000.0,70000-80000
Ford,2017,Ford Ecosport,Petrol,1,Bangalore,775000.0,40000-50000
Maruti,2017,Maruti Baleno,Petrol,2,Bangalore,745000.0,20000-30000
Kia,2019,Kia Seltos,Petrol,1,Bangalore,1125000.0,100000-110000
Mahindra,2016,Mahindra XUV500,Diesel,1,Bangalore,1030000.0,70000-80000
Renault,2020,Renault KWID,Petrol,2,Bangalore,582000.0,10000-20000
Hyundai,2018,Hyundai Grand i10,Petrol,1,Bangalore,615000.0,30000-40000
Honda,2015,Honda Jazz,Petrol,2,Bangalore,560000.0,70000-80000
Maruti,2016,Maruti Baleno,Diesel,1,Bangalore,710000.0,80000-90000
Maruti,2015,Maruti Swift,Petrol,2,Bangalore,535000.0,10000-20000
Maruti,2012,Maruti Swift,Diesel,2,Bangalore,446000.0,50000-60000
Ford,2019,Ford Ecosport,Petrol,1,Bangalore,1018000.0,20000-30000
Honda,2017,Honda City,Petrol,1,Bangalore,840000.0,50000-60000
Hyundai,2016,Hyundai Verna,Petrol,2,Bangalore,654000.0,40000-50000
Maruti,2016,Maruti Swift,Petrol,1,Bangalore,585000.0,30000-40000
Kia,2019,Kia Seltos,Petrol,1,Bangalore,1250000.0,50000-60000
Hyundai,2014,Hyundai Xcent,Petrol,2,Bangalore,475000.0,60000-70000
Hyundai,2010,Hyundai i10,Petrol,2,Bangalore,310000.0,60000-70000
Jeep,2020,Jeep Compass,Diesel,1,Bangalore,2395000.0,40000-50000
